"Cause","Effect"
"Age","BodyMassIndex"
"Age","Diabetes"
"Age","Hypercholesterolemia"
"Age","PhysicalActivity"
"Age","SleepDuration"
"Age","SmokerProfile"
"Age","SocioeconomicStatus"
"BodyMassIndex","Hypertension"
"BodyMassIndex","SocioeconomicStatus"
"Depression","Anxiety"
"Diabetes","BodyMassIndex"
"Diabetes","Hypertension"
"EducationLevel","Depression"
"EducationLevel","Hypercholesterolemia"
"EducationLevel","SocioeconomicStatus"
"Hypercholesterolemia","Diabetes"
"Hypercholesterolemia","Hypertension"
"Hypertension","Anxiety"
"PhysicalActivity","BodyMassIndex"
"PhysicalActivity","Diabetes"
"PhysicalActivity","Hypercholesterolemia"
"PhysicalActivity","Hypertension"
"PhysicalActivity","SocioeconomicStatus"
"Sex","Anxiety"
"Sex","Depression"
"Sex","Diabetes"
"Sex","EducationLevel"
"Sex","Hypercholesterolemia"
"Sex","PhysicalActivity"
"Sex","SmokerProfile"
"Sex","SocioeconomicStatus"
"SleepDuration","Anxiety"
"SleepDuration","Hypercholesterolemia"
"SleepDuration","Hypertension"
"SleepDuration","PhysicalActivity"
"SmokerProfile","BodyMassIndex"
"SmokerProfile","EducationLevel"
"SmokerProfile","Hypercholesterolemia"
"SmokerProfile","PhysicalActivity"
"SmokerProfile","SocioeconomicStatus"
